J,10,"","",12/10/2025,12/01/2025,"",Edge General Ledger,"",54.00,1300-0000,"","",1000,Accounts Receivable - Fee
J,10,"","",12/10/2025,12/01/2025,"",Edge General Ledger,"",-63.29,1300-0000,"","",1000,Accounts Receivable - General/Store Credit
J,10,"","",12/10/2025,12/01/2025,"",Edge General Ledger,"",-210.39,1300-0000,"","",1000,Accounts Receivable - Insurance
J,10,"","",12/10/2025,12/01/2025,"",Edge General Ledger,"",-106.34,1300-0000,"","",1000,Accounts Receivable - Rent
J,10,"","",12/10/2025,12/01/2025,"",Edge General Ledger,"",12.00,1300-0000,"","",1000,Accounts Receivable - Tax
J,10,"","",12/10/2025,12/01/2025,"",Edge General Ledger,"",-29.00,5805-0000,"","",1000,Administrative Fee Revenue
J,10,"","",12/10/2025,12/01/2025,"",Edge General Ledger,"",78.34,1110-1532,"","",1000,Credit Card - Visa
J,10,"","",12/10/2025,12/01/2025,"",Edge General Ledger,"",36.00,"","","",1000,Discount Expense
J,10,"","",12/10/2025,12/01/2025,"",Edge General Ledger,"",103.29,4500-1001,"","",1000,Discount Expense - Rental Income
J,10,"","",12/10/2025,12/01/2025,"",Edge General Ledger,"",-25.00,"","","",1000,Fee Revenue Other
J,10,"","",12/10/2025,12/01/2025,"",Edge General Ledger,"",162.39,5000-0010,"","",1000,Insurance Revenue
J,10,"","",12/10/2025,12/01/2025,"",Edge General Ledger,"",-12.00,2310-0000,"","",1000,Sales Tax Payable State
J,12,"","",12/12/2025,12/01/2025,"",Edge General Ledger,"",0.00,1300-0000,"","",1000,Accounts Receivable - Fee
J,12,"","",12/12/2025,12/01/2025,"",Edge General Ledger,"",0.00,1300-0000,"","",1000,Accounts Receivable - Rent
J,12,"","",12/12/2025,12/01/2025,"",Edge General Ledger,"",-29.00,5805-0000,"","",1000,Administrative Fee Revenue
J,12,"","",12/12/2025,12/01/2025,"",Edge General Ledger,"",68.35,1110-4963,"","",1000,Credit Card - Visa
J,12,"","",12/12/2025,12/01/2025,"",Edge General Ledger,"",-39.35,4500-1001,"","",1000,Rental Revenue
J,13,"","",12/13/2025,12/01/2025,"",Edge General Ledger,"",7.35,1300-0000,"","",1000,Accounts Receivable - Insurance
J,13,"","",12/13/2025,12/01/2025,"",Edge General Ledger,"",-7.35,5000-0010,"","",1000,Insurance Revenue
J,14,"","",12/14/2025,12/01/2025,"",Edge General Ledger,"",-12.00,1300-0000,"","",1000,Accounts Receivable - Insurance
J,14,"","",12/14/2025,12/01/2025,"",Edge General Ledger,"",-310.30,1300-0000,"","",1000,Accounts Receivable - Rent
J,14,"","",12/14/2025,12/01/2025,"",Edge General Ledger,"",322.30,1110-4963,"","",1000,Credit Card - Visa
J,15,"","",12/15/2025,12/01/2025,"",Edge General Ledger,"",0.00,1300-0000,"","",1000,Accounts Receivable - Fee
J,15,"","",12/15/2025,12/01/2025,"",Edge General Ledger,"",0.00,1300-0000,"","",1000,Accounts Receivable - Rent
J,15,"","",12/15/2025,12/01/2025,"",Edge General Ledger,"",-29.00,5805-0000,"","",1000,Administrative Fee Revenue
